airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,6,31-12-2018,Solo Leisure,Business Class,01-12-2018,5,2,1,4,4,3,no
Turkish Airlines,4,24-12-2018,Business,Economy Class,01-12-2018,2,4,4,3,1,2,no
Turkish Airlines,1,24-12-2018,Family Leisure,Economy Class,01-12-2018,1,1,1,3,1,1,no
Turkish Airlines,1,22-12-2018,Couple Leisure,Economy Class,01-12-2018,3,2,3,3,1,1,no
Turkish Airlines,1,15-12-2018,Solo Leisure,Economy Class,01-12-2018,1,2,2,1,1,1,no
Turkish Airlines,5,11-12-2018,Business,Business Class,01-11-2018,4,5,4,3,2,3,no
Turkish Airlines,1,10-12-2018,Solo Leisure,Economy Class,01-12-2018,2,1,2,3,1,1,no
Turkish Airlines,8,08-12-2018,Business,Business Class,01-12-2018,5,5,5,5,3,5,yes
Turkish Airlines,4,05-12-2018,Solo Leisure,Economy Class,01-11-2018,3,3,4,3,3,3,no
Turkish Airlines,3,05-12-2018,Solo Leisure,Economy Class,01-11-2018,3,3,3,4,1,1,no
Turkish Airlines,3,03-12-2018,Solo Leisure,Economy Class,01-12-2018,3,2,2,3,2,3,no
Turkish Airlines,3,30-11-2018,Business,Economy Class,01-11-2018,3,4,3,1,3,4,yes
Turkish Airlines,3,30-11-2018,Couple Leisure,Economy Class,01-11-2018,2,3,3,5,1,2,no
Turkish Airlines,8,26-11-2018,Couple Leisure,Economy Class,01-11-2018,4,3,5,5,3,5,yes
Turkish Airlines,1,26-11-2018,Family Leisure,Economy Class,01-09-2018,2,1,1,2,1,1,no
Turkish Airlines,6,25-11-2018,Couple Leisure,Business Class,01-11-2018,5,4,5,3,1,2,yes
Turkish Airlines,1,24-11-2018,Family Leisure,Economy Class,01-11-2018,2,2,2,1,1,1,no
Turkish Airlines,3,23-11-2018,Solo Leisure,Economy Class,01-11-2018,4,1,1,5,2,3,no
Turkish Airlines,3,22-11-2018,Solo Leisure,Economy Class,01-11-2018,4,3,3,3,1,3,no
Turkish Airlines,8,21-11-2018,Solo Leisure,Economy Class,01-11-2018,4,5,5,5,4,5,yes
Turkish Airlines,2,20-11-2018,Business,Economy Class,01-10-2018,1,4,1,3,3,1,no
Turkish Airlines,10,20-11-2018,Solo Leisure,Economy Class,01-08-2018,5,5,5,4,5,5,yes
